Versions_list,Title,URL,Versions,Excerpt,Year,Citations,Cluster_ID,Citations_list
"https://scholar.google.co.in/scholar?cluster=8174092782678430881&hl=en&oe=ASCII&as_sdt=1,5&as_vis=1",Can quantum-mechanical description of physical reality be considered complete?,http://journals.aps.org/pr/abstract/10.1103/PhysRev.47.777,118,"Abstract In a complete theory there is an element corresponding to each element of reality. A sufficient condition for the reality of a physical quantity is the possibility of predicting it with certainty, without disturbing the system. In quantum mechanics in the case of two physical  ...",1935,14425,8174092782678430881,"https://scholar.google.co.in/scholar?cites=8174092782678430881&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII"
"https://scholar.google.co.in/scholar?cluster=13746912682491308133&hl=en&oe=ASCII&as_sdt=1,5&as_vis=1",Investigations on the Theory of the Brownian Movement,https://books.google.com/books?hl=en&lr=&id=AOIVupH_hboC&oi=fnd&pg=PP5&dq=einstein&ots=YBLthfXOub&sig=nli7Hq6a0rdg2ATj0iT_gEAYAm8,3,"The"" Brownian movement"" was first described in 1828 by the botanist Robert Brown. While investigating the pollen of several different plants, he observed that pollen dispersed in water in a great number of small particles which he perceived to be in uninterrupted and  ...",1956,3781,13746912682491308133,"https://scholar.google.co.in/scholar?cites=13746912682491308133&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII"
"https://scholar.google.co.in/scholar?cluster=16115548963212416576&hl=en&oe=ASCII&as_sdt=1,5&as_vis=1",The evolution of physics: The growth of ideas from early concepts to relativity and quanta,https://books.google.com/books?hl=en&lr=&id=rSg4AAAAIAAJ&oi=fnd&pg=PR11&dq=einstein&ots=G1-QVXx1tk&sig=CWHg8OEo4h6PnopAVRX7jfbrBJk,6,"Published by the Syndics of the Cambridge University Press The Pitt Building, Trumpington 
Street, Cambridge CB2 irp Bentley House, 200 Euston Road, London nwi 2Db 296 Beaconsfield 
Parade, Middle Park, Melbourne, 3206, Australia Â© 1938 by Albert  and Leopold  ",1971,1956,16115548963212416576,"https://scholar.google.co.in/scholar?cites=16115548963212416576&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII"
"https://scholar.google.co.in/scholar?cluster=8349134514512365633&hl=en&oe=ASCII&as_sdt=1,5&as_vis=1",Relativity: The special and the general theory,https://books.google.com/books?hl=en&lr=&id=xNiqBwAAQBAJ&oi=fnd&pg=PP1&dq=einstein&ots=ynbCqKg6AJ&sig=Cf1bca_VFrMdbm8pYhuAKlBMqts,210,"After completing the final version of his general theory of relativity in November 1915, Albert Einstein wrote a book about relativity for a popular audience. His intention was"" to give an exact insight into the theory of relativity to those readers who, from a general scientific and  ...",2015,2377,8349134514512365633,"https://scholar.google.co.in/scholar?cites=8349134514512365633&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII"
"https://scholar.google.co.in/scholar?cluster=18441928015186612566&hl=en&oe=ASCII&as_sdt=1,5&as_vis=1",Erklarung der Perihelionbewegung der Merkur aus der allgemeinen Relativitatstheorie,http://adsabs.harvard.edu/abs/1915SPAW...47..831E,3,"Abstract The paper by Einstein published in Sitzungsber. preuss. Akad. Wiss. contains a review of the observations of the perihelion shift of Mercury, as well as of the predictions of the Classical (non-relativistic) Electrodynamics, Special relativity and General relativity  ...",1915,1480,18441928015186612566,"https://scholar.google.co.in/scholar?cites=18441928015186612566&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII"
"https://scholar.google.co.in/scholar?cluster=11791757726509093391&hl=en&oe=ASCII&as_sdt=1,5&as_vis=1",The bed-load function for sediment transportation in open channel flows,https://books.google.com/books?hl=en&lr=&id=xIhtv2wpR9oC&oi=fnd&pg=PA2&dq=einstein&ots=7RoWEtAIaD&sig=ElC1IODXqWGm4vkD5etGvyjIjtM,69,"River-basin development has become one of the largest classes of public enterprise in the United States. Multiple-purpose river-basin programs may involve power, irrigation, flood control, pollution control, navigation, municipal and industrial water supply, rccrea-",1950,2186,11791757726509093391,"https://scholar.google.co.in/scholar?cites=11791757726509093391&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII"
"https://scholar.google.co.in/scholar?cluster=7162092216803592764&hl=en&oe=ASCII&as_sdt=1,5&as_vis=1",The theory of the brownian movement,http://staff.ustc.edu.cn/~xtao/courses/tp/notes/Einstein_Brownian1905.pdf,7,"N this paper it will be shown that according to the molecular-kinetic theory of heat, bodies of microscopically-visible size in a liquid will perform movements of such magnitude that they can be easily observed in a microscope, on account of the molecular motions of heat. It is  ...",1905,1313,7162092216803592764,"https://scholar.google.co.in/scholar?cites=7162092216803592764&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII"
"https://scholar.google.co.in/scholar?cluster=6706908336481689418&hl=en&oe=ASCII&as_sdt=1,5&as_vis=1",The collected papers of Albert Einstein,https://books.google.com/books?hl=en&lr=&id=J-zv71syXJMC&oi=fnd&pg=PR11&dq=einstein&ots=2Df288qGA3&sig=iPL3Gmzc-NBbhx9w8qyF-czz3K8,10,"Every document in The Collected Papers of Albert Einstein appears in the language in which it was written, and this supplementary paperback volume presents the English translations of all non-English materials. This translation does not include notes or  ...",1989,496,6706908336481689418,"https://scholar.google.co.in/scholar?cites=6706908336481689418&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII"
"https://scholar.google.co.in/scholar?cluster=6829692673079820513&hl=en&oe=ASCII&as_sdt=1,5&as_vis=1",Estimating risk of cancer associated with radiation exposure from 64-slice computed tomography coronary angiography,http://archpedi.jamanetwork.com/article.aspx?articleid=208021,21,"Objectives To determine the LAR of cancer incidence associated with radiation exposure from a 64-slice CTCA study and to evaluate the influence of age, sex, and scan protocol on cancer risk. Design, Setting, and Patients Organ doses from 64-slice CTCA to  ...",2007,1284,6829692673079820513,"https://scholar.google.co.in/scholar?cites=6829692673079820513&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII"
"https://scholar.google.co.in/scholar?cluster=15317244643960906689&hl=en&oe=ASCII&as_sdt=1,5&as_vis=1",The Universe and Dr. Einstein,https://books.google.com/books?hl=en&lr=&id=QuJQdu_fUqcC&oi=fnd&pg=PP1&dq=einstein&ots=ZJnEZ5kQTR&sig=C6VTeZfDyEYj1tSDS-qzUWTOCIA,4,"In the century since the publication of the special theory of relativity, there remains a tendency to venerate Einstein's genius without actually understanding his achievement. This book offers the opportunity to truly comprehend the workings of one of humanity's greatest  ...",2005,427,15317244643960906689,"https://scholar.google.co.in/scholar?cites=15317244643960906689&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII"
